受益人||向||我们||请求||给付保险金||的||诉讼时效||期间||为|| ||2|| ||年||，||自其||知道||或者||应当||知道||保险事故||发生||之日起||计算||。||\n###B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O
受益人||向||我方||请求||给付保险金||的||诉讼时效||期间||为|| ||2|| ||年||，||自其||知道||或||应当||知道||保险事故||发生||之日起||计算||。||\n###B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O
受益人||向本||公司||请求||给付保险金||的||诉讼时效||期间||为||5||年||，||自其||知道||或者||应当||知道||保险事故||发生||之日起||计算||。||\n###B||M||M||M||M||M||M||M||M||M||E||O||O||O||O||O||O||O||O||O||O||O||O
被保险人||或||受益人||向||我们||请求||给付保险金||的||诉讼时效||期间||为||五年||，||自其||知道||或者||应当||知道||保险事故||发生||之日起||计算||。||\n###B||M||M||M||M||M||M||M||M||M||M||E||O||O||O||O||O||O||O||O||O||O||O||O
权利||人向||我们||申请||给付保险金||的||诉讼时效||期间||为|| ||5|| ||年||，||自其||知道||或者||应当||知道||保险事故||发生||之日起||计算||。||\n###B||M||M||M||M||M||M||M||M||M||M||M||E||O||O||O||O||O||O||O||O||O||O||O||O
受益人||向||我们||请求||给付保险金||的||诉讼时效||期间||为||二年||，||自其||知道||或者||应当||知道||保险事故||发生||之日起||计算||。||\n###B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O
申请人||向||我方||申请||豁免||保险费||权利||的||诉讼时效||期间||为|| ||2|| ||年||，||自其||知道||或||应当||知道||保险事故||发生||之日起||计算||。||\n###B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O
向||我们||请求||给付保险金||的||诉讼时效||期间||为|| ||5|| ||年||，||自||知道||或者||应当||知道||保险事故||发生||之日起||计算||。||\n###B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O
受益人||向||我们||请求||给付保险金||的||诉讼时效||期间||为|| ||5|| ||年||，||自其||知道||或者||应当||知道||保险事故||发生||之日起||计算||。||\n###B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O
受益人||向||我们||请求||给付保险金||的||诉讼时效||期间||为|| ||5|| ||年||，||自其||知道||或者||应当||知道||保险事故||发生||之日起||计算||。||\n###B||M||M||M||M||M||M||M||M||M||M||M||E||O||O||O||O||O||O||O||O||O||O||O||O
受益人||向||我们||请求||给付||身故保险金||的||诉讼时效||期间||为||五年||，||自其||知道||或者||应当||知道||保险事故||发生||之日起||计算||；||受益人||向||我们||请求||给付||重大疾病||保险金||、||生命||关爱||保险金||的||诉讼时效||期间||为||二年||，||自其||知道||或者||应当||知道||保险事故||发生||之日起||计算||。||\n###B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O
